,index,Title_Date,DATA
0,0, Community Health Fund supports free glasses to the elderly   Wed 05 July 2023  ,"  Community Health Fund supports free glasses to the elderly   The Community Health Fund (CHF) provides eye examinations and glasses to elderly in Sakon Nakhon province.   On 2 June, the National Health Security Office (NHSO) Deputy Secretary-General Dr Athaporn Limpanyalers led the NHSO Office Region 8 to follow up on the outcome of CHF implementation in Song Dao Nong Daeng Municipality in Song Dao district of Sakon Nakhon.    Introduced in 2006, CHF is the NHSO’s health program that encourages local administrative organizations and municipalities in Thailand to promote good health and well-being of the people in their governing areas.   They can propose health projects related to primary care, community-based care, or health promotion and disease prevention to the NHSO and get the fund to make the projects materialize.   Engaging local governments in the health system is one of the main components of Thailand’s Universal Health Coverage. As local governments are close to communities, they can identify local health needs and design the projects that answer these needs.    In Song Dao Nong Daeng, the CHF and the municipality co-funded a health program that expand vision screening and provide free glasses to senior citizens.  The 51,600-baht program is implemented by Song Dao Community Hospital, said the municipality mayor Tong-on Pongkamsinh.   Vichan Datumma, the chief of Song Dao district, said that the program involves village health volunteers in searching for elderly having poor vision, either long- or shot-eyesight.   This survey finds 358 people urgently needed due to  vision problems trouble their daily lives.   “Having personal glasses can improve the quality of life and mental state of seniors. They can live normal lives, like watching television and walking around their houses, without needing assistance from their family members,” said Vichan.    Thevee Kesri, a 74-year-old resident of Song Dao Nong Daeng district, said that the poor eyesight c made completing daily tasks difficult. However, since receiving glasses through the CHF, she has regained a sense of normalcy and productivity.   Dr Athaporn said during his visit to the community that the elderly  are the primary focus for the NHSO as Thailand transitions to  an aged society.   Approximately one million people cross into elderly threshold of over 60 each year.   To improve their quality of life, the NHOS emphasizes the health program that provides devices and necessary items to the elderly, including glasses.    Dr Athaporn said the NHSO aims to provide free glasses to 500,000 seniors annually, with 60-million-baht allocated  to support the eye examination services and the procurement of glasses.   In addition, he said that the NHSO had engaged local governments through several programs.   One of those is the 2009-launch Provincial Rehabilitation Fund which supports local governments to provide care and assistive devices to people living with disabilities, the elderly, and patients requiring rehabilitation.    These programs are proved valuable, especially during the COVID-19 pandemic when local governments play a significant role in disease surveillance and prevention.   With the fund from the CHF, local government organizations could obtain the resources to conduct COVID-19 screening, take care of persons under self-quarantine, and pay allowances to village health volunteers who provide home care to community members under the travel restriction.           "
1,1, ​Acellular pertussis vaccines offered to pregnant women   Wed 05 July 2023  ,"   Acellular pertussis vaccines offered to pregnant women   The National Health Security Board (NHSB) approved the proposal to introduce acellular pertussis vaccines into the Universal Coverage Scheme (UCS).   Pregnant women are the prime target because evidence suggests that vaccination can protect infants from pertussis.   The NHSB’s meeting on 7 June when Assoc. Prof. Dr Prasobsri Ungthavorn, a member of the National Health Security Board (NHSB) and chair of the NHSB’s sub-committee , proposed to the board members to include four new items into the UCS benefits package,   One of these benefits is acellular pertussis vaccines for women between 27 and 36 weeks of pregnancy.   Vaccinating mothers can improve the immunity of newborn babies against the disease.   Pertussis, known as whooping cough, is a highly-contagious respiratory disease caused by a bacteria called Bordetella pertussis.   It can cause pneumonia, seizures, brain damage, and death, especially for babies and children.   The Department of Diseases Control under the Ministry of Public Health reports nearly 60 cases of pertussis annually in the past five years.   The disease is found mainly in children under four years old, especially those living in rural areas where access to vaccines is restricted by geographical disparity.   The World Health Organization estimates between 20 and 40 million cases of pertussis are detected annually.    Dr Jadej Thammatacharee, the NHSO board member and secretary-general, said that approximately 110,000 doses of acellular pertussis vaccines will be offered to pregnant women this year.   This health benefit will cost the Thai government around 41 million baht. But the outcome is worthwhile as it will protect infants from the deadly disease, he said.   The vaccine will be purchased from local suppliers that develop and manufacture the vaccine and pass the set criteria, including high vaccine effectiveness and safety.   The NHSB approval is based on scientific and cost-effective studies.   Several clinical trials suggest that acellular pertussis vaccine can be offered to wider population groups, including adolescents and pregnant women, due to its safety.   It can be an alternative to the whole-cell pertussis vaccine, which is associated with higher adverse events.   In addition, the NHSB also approved the introduction of three medicines into the UCS benefits package.   They are activated prothrombin complex concentrate (aPCC) used for treating hemophilia; carglumic acid used for the treatment of hyperammonemia in patients with a deficiency in N-acetyl glutamate synthase, methylmalonic acidemia and propionic acidemia; and somatropin used for the treatment of growth hormone deficiency in infants.   “The use of these drugs will allow the UCS beneficiaries to access effective drugs, giving physicians have more choices for treating the patients,” said Dr Jadej.   “The NHSO pays close attention to the needs of UCS beneficiaries and looks for ways to answer those needs.”    "
2,2, Patients are satisfied with 'Cancer Anywhere'   Fri 23 June 2023  ,"  Patients are satisfied with 'Cancer Anywhere'   Thailand’s National Cancer Institute praises 'Cancer Anywhere' for its success in providing cancer patients with timely and quality treatment.   Launched on 1 January 2021, Cancer Anywhere is a health policy that allows cancer patients to get treatment at any hospital regardless of their registries.   Under the Universal Coverage Scheme (UCS), beneficiaries’ healthcare benefits are tied to certain hospitals based on their household registries.   Changing hospitals ordinarily requiresa transfer approval document from the hospital staff — a process that could take weeks and potentially  delays treatment.   This rule is exempted under Cencer Anywhere to help health providers speed up the process of inter-hospital transfers.   This progress is made possible by technology such as online data sharing.    Dr Supakorn Pitakkarnkul, Deputy Director of the National Cancer Institute, said that the number of cancer patients in the UCS increased slightly in the past two years due to the policy.   Many may switch from state to private-run hospitals because they can choose preferable hospitals in the cities where they currently live in.   “Our evaluation finds patients receive treatment faster and express satisfaction with the policy.   Healthcare providers are also pleased with the outcomes,” said Dr Supakorn.   To facilitate the Cancer Anywhere policy, the National Cancer Institute developed a paperless inter-hospital transfer system — in which partnered hospitals share health information and medical records of the patients.    It has developed a mobile application, in which health staff can monitor queues in other hospitals, helping them identify the hospitals that can provide treatment on time.   The hospital staff also works together by assigning a “cancer coordinator” in each hospital, to coordinate inter-hospital transfer and communicate with patients about the policy and conditions.   However, Dr Supakorn said that some challenges remain.   One of those is low public’s awareness of the policy, meaning all relevant organizations must put more effort into communicating and promoting it.    Some hospitals are used to paper-based inter-hospital transfers and lack digital skills, so adapting to the electronic system is challenging.   Data sharing is still limited due to the different methodologies used for data collection in each hospital.   To tackle these challenges, Dr Supakorn said his institute will visit hospitals across the country to explain the idea and detail of Cancer Anywhere to hospital staff — hoping they will pass the message to patients.   His team will also push for a single-standard data collection system, in which every hospital applies a similar methodology of data collection and shares data across the hospitals seamlessly.   As only UCS beneficiaries are eligible for Cancer Anywhere, there is the need to push forward the policy in the other two government healthcare schemes — Social Securirty Scheme (SSS) and Civil Servant Medical benefit Scheme (CSMBS).   Around 140,000 new cancer patients emerge in Thailand each year. The most common types of cancer found among the Thai population are liver, gallbladder, lung, breast, colon, and cervical cancer.   ///////////////////////    "
3,3, Nursery and midwifery clinics improve primary care access   Fri 23 June 2023  ,"   Nursery and midwifery clinics improve primary care access          The establishment of a nursing and midwifery clinic run by the Faculty of Nursing at Mahidol University leads to people’s increasing access to primary and home care.   Assoc.Prof. DR Yajai Sitthimongkol, Dean of the faculty of Nursing, Mahidol University said that the clinic serves as an integral part of the National Health Security Office (NHSO)’s healthcare  network aiming to tackle healthcare disparity in Bangkok.   Despite Bangkok being a hub for advanced healthcare services, including tertiary and specialized hospitals, there is a big gap in its primary healthcare due to inadequate care centers.    Bangkok’s health system is driven by the private sector, many of which are not partnered with the NHSO to provide free and affordable healthcare services to beneficiaries of the Universal Coverage Scheme (UCS) — the Thai government’s healthcare scheme that covers 47 million people in Thailand.   Consequently,many people paying the healthcare services, including primary care, out of their pockets.     Located in Bangkok Noi district, the Faculty of Nursing’s clinic was freshly opened on 21 September last year as part of the faculty's mission to lead social changes and contribute to people’s well-being.    It aims to achieve two main goals — to increase people’s access to primary healthcare and to reduce hospital crowding.   Patients can visit the clinic to get services including general screenings, wound dressings, urinary catheterization, and physical rehabilitation. It will soon offer space for trainee nurses.   The clinic staff has organized home visits to follow up with patients discharged from Siriraj Hospital run by Nahodil University and health centers run by Bangkok Metropolitan Administration.   This helps reduce the workload of hospital staff while providing patients with access to quality and timely care.      Assoc.Prof. DR Yajai said wound dressing is the most requested service at the clinic.   The survey of clinic patients found their satisfaction with the services, especially home visits.   “The availability of clinics like this can fill the gap in healthcare access, especially for the elderly people and patients living with chronic diseases,” she said.   “They can’t access healthcare services despite being covered by the government’s healthcare scheme, because they find inconveniences in commuting to the hospitals or their health conditions don’t allow them to mobilize outside their home.”   Assoc.Prof. DR Yajai added that her faculty has more than 130 staff with varied nursing expertise, from midwifery and internal medicine to mental health.  They take turns to station at the clinic or join patients’ home visits.   But the challenge remains. Many patients are unaware of the presence of nursing and midwifery clinics, meaning there is a need to promote the clinics to the public.   In addition, the medical guidelines and regulations restrict nurses from performing tasks that overlaps with the physicians' responsibilities, limiting the number of services that can be provided at the clinics.   /////////////////////////         "
4,4, National Health Security Office of Thailand Collaborates to Organize Continuing Professional Development Forum   Wed 14 June 2023  ,"          National Health Security Office of Thailand Collaborates to Organize Continuing Professional Development Forum  [Bangkok, Thailand] - The National Health Security Office (NHSO) of Thailand has joined hands with various partners to organize the Continuing Professional Development (CPD) Forum, a significant event aimed at enhancing the skills and knowledge of healthcare professionals.  The forum, held from June 6th to June 9th, is a collaborative effort between Thailand and international organizations, Japan, Vietnam, and Laos, emphasizing the importance of continuing education in the field of healthcare.  In alignment with the Partnership Project for Global Health and Universal Health Coverage (GLO+UHC) Phase 2, the CPD Forum strives to strengthen the capacity of Thailand and other countries in the implementation of Global Health and Universal Health Coverage.  The NHSO, in coordination with the Thailand Nursing and Midwifery Council (TNMC), the Ministry of Public Health (MOPH), and the Asia Pacific Action Alliance on Human Resources for Health (AAAH), has played a pivotal role in organizing this significant event.  The CPD Forum aims to facilitate knowledge sharing and collaboration among healthcare professionals by focusing on the development of the CPD system, particularly for nurses.  Associate Professor Dr. Suchitra Luengamornlert, President of the Thailand Nursing and Midwifery Council, emphasized that CPD will play a significant part in professional and personal development.  She further highlighted that CPD will not only contribute to improved patient outcomes but also enhance the public's confidence in the healthcare system.  During the opening ceremony on the first day, Secretary-General of NHSO Dr. Jadej delivered a compelling speech highlighting the importance of the CPD system for the health workforce.  He emphasized the need for continuous learning and professional growth to meet the evolving healthcare challenges faced by the nation.  Secretary-General Jadej's address inspired participants from Thailand and other countries to actively engage in discussions and share their experiences and expertise.  The CPD Forum features a comprehensive program, including lectures, group discussions, and visits to healthcare institutions such as the King Chulalongkorn Memorial Hospital.  The participants, including representatives from Lao PDR, Vietnam, and Japan will engage in productive discussions to identify challenges and develop strategies to enhance the CPD system in their respective countries.  The collaboration between the NHSO and its partner organizations underscores Thailand's commitment to fostering a highly skilled and competent health workforce.  Through this forum, healthcare professionals will have the opportunity to exchange experiences, learn from one another, and contribute to the development of a robust CPD system.  The CPD Forum serves as a platform for international collaboration and knowledge sharing, furthering the goal of universal health coverage.  By emphasizing the importance of continuous professional development, Thailand and its partner organizations are paving the way for enhanced healthcare services and improved patient outcomes.  As the CPD Forum progresses, participants will continue to explore innovative solutions and draft action plans that address the challenges faced by their respective countries.  This collaborative effort will contribute to the overall advancement of the healthcare sector, supporting the vision of a healthier and more prosperous future.    "
5,5," UCS must cover targeted drug therapy for breast cancer, a patient group says.    Tue 13 June 2023  ","  UCS must cover targeted drug therapy for breast cancer, a patient group says.    A patient group is advocating for the inclusion of targeted drug therapy for breast cancer in the Universal Coverage Scheme (UCS), referencing  the clinical evidence that validates the high efficacy of this treatmentin saving patients’ lives.    On the 30th May, Thailand Breast Cancer Community (TBCC) represented by its President Orawan Owaratin met the National Health Securirty Office (NHSO) secretary-general Dr Jadej Thammatacharee at the office headquarters in the Government Complex   Commemorating His Majesty The King's 80th Birthday Anniversary, 5th December, B.E. 2550 (2007).   The group submitted a letter urging the NHSO to include targeted drug therapy for breast cancer in the UCS.   The therapy uses medicines directed at proteins in breast cancer cells and blocks their growth.  The drugs are given to patients with stage-four breast cancer — in which cancer cells have metastasized and spread to distant parts of the body, including the bones, lungs, and liver.    Some studies suggest that targeted drug therapy offers up to 80% of success rate while chemotherapy is successful only around 30%.    Free-of-charge therapy is available for beneficiaries of Civil Servant Medical Benefits Scheme (CSMBS) — covering healthcare for nearly five million government officials and their family members.   But the rest of the 65 million Thai population — covered by UCS or Social Securirty Scheme — can only access general cancer treatments, including surgery, chemotherapy, and hormone therapy.   “This disparity reflects  the inequitable access to highly-effective treatment for breast cancer.  Bringing targeted drug therapy into the UCS benefits package will indeed help the patients live longer and improve their quality of life,” said Orawan.    On the 31st of March, her group organized a public hearing with cancer patients, most of whom expressed their concern about lacking access to targeted drug therapy in the government’s healthcare schemes.     The TBBC’s Vice President Ireal Trisansri, also a patient living with breast cancer, said she had reached stage four in 2017.   She must seek targeted drug therapy from private hospitals and pay the fee out of her pocket.    “The therapy saves my life. I can live a normal life and work to support myself,” she said. “I can get the treatment because my family can financially support me.   But many patients are unable to afford the therapy and risk mortality.”   The TBBC added that the UCS has yet covered the necessary diagnosis and treatments for stage-four breast cancer — including positron emission tomography (PET) scan, computerized tomography (CT) scan, magnetic resonance imaging (MRI), and genetic testing.   They also requested the NHSO to improve the mobile application “Cancer Everywhere” utilized for compiling  health data of cancer patients and reserving doctor appointments.   The reservation process through the application is slow due to the lack of coordination among hospitals in sharing patients’ health data, said the group.   This challenge obstructs the NHSO’s vision to use mobile technology to improve patient’s access to timely treatment.      During the meeting with the patient group, Dr Jadej said that his team will raise the group’s request to the National Drug Information subcommittee under the Ministry of Public Health.   The subcommittee plays a role in prioritizing the medicines to be included in the National Drug Information — the list of drugs provided to patients free of charge.   “The NHSO has always looked for the opportunity to add more items to the UCS benefits package, with no exception for high-cost medicines.  But we must consider the scientific evidence and cost-effectiveness.”           "
6,6, UCS beneficiaries get rehabilitation from private clinics   Tue 13 June 2023  ,"  UCS beneficiaries get rehabilitation from private clinics  The National Health Security Office (NHSO) partners with private clinics across Thailand to offer free physical rehabilitation to Universal Coverage Scheme (UCS) beneficiaries.  The partnership targets patients with four types of diseases or injuries — stroke, fragility hip fracture, traumatic brain injury, and spinal cord injury.     The NHSO secretary-general Dr Jadej Thammatacharee said that physical rehabilitation is a pivotal component  in the recovery process of patients, especially for those transitioning from the critical phase of severe injury or illness.    To restore the functions of their limbs, they require intermediate care and regular rehabilitation during the first three to six months of recovery.   However, numerous  patients experience long queues at public hospitals as rehabilitation services are in high demand.   Long-distance commuting to the hospital is another barrier that prevents patients from maintaining consistent hospital visits and increases the risks of patients developing with permanent disabilities.   To tackle these challenges, the NHSO involves private clinics in providing physical rehabilitation to UCS beneficiaries.    Nearly 60 clinics have joined the partnership since its launch in January 2021. Their locations are easily accessible, encouraging patients to revisit the clinics for regular rehabilitation sessions.    Dr Jadej said that the public hospitals overseeing the patients will contact the clinics' staff and transfer patients to their care after the patients go through the critical stage.     The NHSO sets the guideline for ensuring quality services, which assure patients that they will receive care conforming to best practice standards.   Each patient will join no more than 20 sessions of intensive rehabilitation during the early phase of recovery.  “This partnership relies on the network of public and private healthcare providers. It has benefits the patients as they can access rehabilitation conveniently,” said Dr Jadej.   “It also reduces hospital crowding and workload of hospital staff, allowing them to concentrate emergency cases.”   However, only 10% of 800 rehabilitation clinics participates in the partnership since it launched two and a half years ago.  The NHSO has extended invitations  more private clinics to participate.   The UCS covers 47 million people in Thailand.   Due to the increasing demand for healthcare services, public-private partnership is a crucial strategy to mobilize resources from the private sector into the national health security system.  //////////// "
7,7, 17 private hospitals partner with NHSO to offer patients with timely healthcare services   Fri 09 June 2023  ,"  17 private hospitals partner with NHSO to offer patients with timely healthcare services   The National Health Securirty Office (NHSO) partners with 17 private hospitals in Bangkok and its metropolitan to offer necessary healthcare services to Universal Coverage Scheme (UCS) beneficiaries.   Launched on 1 April, the partnership has provided nearly 600 extra beds to the capital’s public healthcare system and increased the scheme beneficiaries' access to healthcare services in private hospitals and on time.   The healthcare services include joint and hip replacement, hemodialysis, and vascular access for patients with chronic kidney disease — patients often wait for months to get these services in public hospitals.   As the UCS administrator, the NHSO has coordinated between public and private hospitals to facilitate inter-hospital transfers for patients needing healthcare services.    The NHSO secretary-general Dr Jadej Thammatacharee said that UCS covers nearly 5.5 million people in Bangkok alone. The number of the scheme beneficiaries can be more significant if counting immigrants.   However, public hospitals in Bangkok are inadequate despite the city's enormous population. Private hospitals are crucial in filling this gap by distributing health services to different parts of the capital.   The National Health Securirty Act, instrumental in enabling Thailand to achieve comprehensive population coverage, addresses the necessity to incorporate the private sector into the scheme and pave avenues for the NHSO to partner with private hospitals to ensure people’s access to healthcare.   Since the introduction of the UCS in 2002, numerous  private hospitals have partnered with the NHSO to provide  healthcare services to UCS beneficiaries in various healthcare programs.    The recent partnership with 17 hospitals include Kluay Nam Thai Hospital, Piyavate Hospital, Bang Na I and V Hospital, Sri Sawan Hospital, Mahesak Hospital, Mitrpracha Hospital, Vibraram pak Kred Hospital, Bang Po General Hospital and Bang Phai General Hospital,   Dr Jadej said that the partnership benefits both outpatients and inpatients rather than only being confined to outpatients as was the case with previous public-private partnerships.   The private hospitals can  claim the health service fees from the NHSO directly after providing services to the UCS beneficiaries.   This reimbursement is made possible by the NHSO’s implementation of an e-claim system enabling hospital staff to enter the healthcare service data and submit the claim online.    Approximately 2,930 patients have benefited from this partnership, according to the official record updated on 26 May. Of these, 526 are inpatients and the remainder being outpatients outpatients.   Over 130 patients suffering from chronic kidney disease received vascular access with shorter waiting times, allowing them to access hemodialysis faster.   ///////////////////////    "
8,8, NHSO Thailand Extends a Warm Welcome to Japanese Delegation: In-depth Discussion on Universal Health Coverage (UHC)   Thu 08 June 2023  ,"          NHSO Thailand Extends a Warm Welcome to Japanese Delegation: In-depth Discussion on Universal Health Coverage (UHC)  The National Health Security Office (NHSO) of Thailand welcomed the esteemed delegation from the Institute for Health Economics and Policy (IHEP), a Japanese research organization endorsed by the Ministry of Health, Labour and Welfare (MHLW).  IHEP has been at the forefront of various seminal projects concerning healthcare policy domains, including medical care, long-term care, health promotion, and disease prevention.  The visit to Bangkok is set to offer the IHEP delegation insights into Thailand's implementation of Universal Health Coverage (UHC).  The prestigious panel of representatives from the NHSO who are scheduled to impart their insights includes Mrs. Lalitaya Kongkam, the Deputy Secretary-General; Mr. Kanitsak Chantrapipat, the Director of the Bureau of Primary Care Management; Mr. Patiphak Namahoot, the Director of the Department of Health Security Monitoring and Evaluation Cluster, and Ms. Wilailuk Wisasa, the Director of the International Collaborating Department on UHC Policy Advocacy Unit.  Miss Somruethai Supunkul, senior expert, of Agile team of from NHSO.  The meeting, which is scheduled to take place on the 1st of June 2023 at the NHSO headquarters, aims at facilitating a robust exchange of opinions and insights between the NHSO and IHEP representatives, particularly concerning the following topics: 1. Health care system 2. Health care service delivery system 3. Pricing and Reimbursement schemes in public health care system 4. Pharmaceutical Regulation 5. Drug lists and tenders 6. Roles and Responsibility of Pharmacy and Pharmacist 7. Status of Generic Drugs 8. Government regulations and initiatives 9. Topics on features of Thailand The meeting offered a comprehensive platform for discussions that could potentially enhance the healthcare sectors of both nations.  The NHSO extends its warmest welcome and looks forward to fostering a meaningful exchange with the Japanese delegation.    "
9,9, Thailand succeeds in developing low-cost artificial tooth roots   Fri 02 June 2023  ,"  Thailand succeeds in developing low-cost artificial tooth roots   Thai researchers have succeeded in developing low-cost artificial tooth roots, significantly reducing the cost of dental implants.   This development has allowed the Thai government to offer free treatments through its healthcare scheme.   Recently, the Department of Health under the Ministry of Public Health, the National Health Security Office (NHSO) overseeing the Universal Coverage Scheme, and the Dental Innovation Foundation under Royal Patronage co-launched a health program to increase elderly people’s access to dental implants.    This partnership is part of the Thai government’s commemoration of the sixth-cycle birthday anniversary of His Majesty King Maha Vajiralongkorn Bodindradebayavarangkun, who will turn 72 years old in 2024.   Providing Thai people with free dental implants is made possible by innovation, said Worawut Kulklaw, secretary-general of the Dental Innovation Foundation under Royal Patronage.   The researchers in his foundation collaborated with the Faculty of Dentistry at three leading universities — Chulalongkorn, Mahidol and Chiang Mai University — to develop low-cost dental roots.   They eventually succeeded. Their product was certified by global dentistry organizations — making Thailand the second country in Asia after South Korea achieved high-standard artificial tooth root development.    This success allows the Thai government to include dental implants in the Universal Coverage Scheme (UCS) which ensure healthcare access to 47 million people in Thailand.    Worawut said that the development of low-cost artificial roots will increase people’s access to dental implants — the treatment that improves the quality of life for people, especially the elderly who often deal with teeth loss.   Each root cost around 3,000 baht, significantly cheaper than the imported roots widely used in private dental clinics that cost between 40,000 and 50,000 baht per root.    “Usually, artificial roots must be imported from high-innovative countries like German, Switzerland, the United States and South Korea — making their cost hike up. That's why only people with the power of purchase can access dental implants,” said Worawut.   “Thailand’s success in developing artificial roots will drive down this cost, and make many people access the treatment without financial barrier.”   He added that the development of low-cost artificial roots was inspired by the speech of His majesty King Rama XI, who urged relevant sectors to improve the oral health of the elderly.      This leads the researchers to name the artificial root model as PRK, which stands for Pharam Kao or means Rama XI.    It is produced in the factory run by the Dental Innovation Foundation under Royal Patronage located in Sam Pran district in Nakhon Phatom province.    The factory can produce 100,000 roots per year, which are distributed to public hospitals under the Public Health Ministry and private clinics.   Some of them will be exported to foreign countries through government-to-government agreements.   Around 100,000 roots were provided to 50,000 UCS beneficiaries after the launch of the model.    ///////////////////////////    "
